"month","avg_wt","sum_wt","nobs"
2004-02-01,2177.67482693838,164588663.420002,75580
2004-03-01,2196.19429691138,164824381.983199,75050
2004-04-01,2173.27066847323,164931684.301102,75891
2004-05-01,2199.26228580931,165254767.417997,75141
2004-06-01,2235.38648336531,165315771.990798,73954
2004-07-01,2230.1216255941,165345677.564798,74142
2004-08-01,2224.15778494457,165577426.300199,74445
2004-09-01,2198.91336893418,165828852.804803,75414
2004-10-01,2171.12230305905,166151647.608503,76528
2004-11-01,2181.02078663537,166309378.043307,76253
2004-12-01,2196.2239113517,166366157.508803,75751
2005-01-01,2208.70376328196,166160784.111702,75230
2005-02-01,2242.01063662901,166377367.333602,74209
2005-03-01,2252.47766056534,166685599.359496,74001
2005-04-01,2226.85863996588,167123514.0708,75049
2005-05-01,2236.42887492908,167159639.8277,74744
2005-06-01,2228.16060855575,167143239.890201,75014
2005-07-01,2227.78916122731,167075275.935403,74996
2005-08-01,2269.2583697513,167437228.8121,73785
2005-09-01,2253.887338724,167883052.312196,74486
2005-10-01,2226.68866247658,167983619.385896,75441
2005-11-01,2233.7511919512,168375697.346897,75378
2005-12-01,2266.98005538988,168389011.534305,74279
2006-01-01,2272.35938272464,168170500.837302,74007
2006-02-01,2284.17012417772,168400442.405002,73725
2006-03-01,2278.24057014237,168630810.520798,74018
2006-04-01,2277.56929946865,168890873.832798,74154
2006-05-01,2292.63344762448,168845575.5172,73647
2006-06-01,2279.28809024181,169273609.309898,74266
2006-07-01,2259.84611697274,169187899.239398,74867
2006-08-01,2271.61702443969,169453543.555103,74596
2006-09-01,2264.31636263505,169746740.441299,74966
2006-10-01,2269.20189462703,169990452.3303,74912
2006-11-01,2265.96884120307,169968056.809801,75009
2006-12-01,2320.77149925039,168109725.091201,72437
2007-01-01,2339.36712018323,170324641.286301,72808
2007-02-01,2359.18434205024,171128154.619299,72537
2007-03-01,2319.19404346982,171573975.335897,73980
2007-04-01,2295.92073045562,171668288.936897,74771
2007-05-01,2297.87404958567,171630510.637603,74691
2007-06-01,2313.55933353438,171834992.379599,74273
2007-07-01,2322.9869676418,171835991.970399,73972
2007-08-01,2334.08833308028,172169357.713001,73763
2007-09-01,2325.73703219665,172144077.9121,74017
2007-10-01,2327.78845981134,172542664.006596,74123
2007-11-01,2323.24680518404,172898350.488601,74421
2007-12-01,2338.95723664153,173103886.126603,74009
2008-01-01,2316.32940646434,172318693.535102,74393
2008-02-01,2345.25908905374,172880773.749597,73715
2008-03-01,2334.92417250531,173174321.102201,74167
2008-04-01,2334.21429833431,173205703.579301,74203
2008-05-01,2312.86002761354,173445999.190795,74992
2008-06-01,2330.01646751536,173513996.319401,74469
2008-07-01,2336.02035158126,173652744.875496,74337
2008-08-01,2357.56688234136,173934211.878498,73777
2008-09-01,2359.13355114752,174127647.410198,73810
2008-10-01,2373.10047114156,174579509.26,73566
2008-11-01,2379.21189725186,174710288.038999,73432
2008-12-01,2406.79462841579,174531119.2742,72516
2009-01-01,2328.30656497472,174224851.950493,74829
2009-02-01,2339.00918394229,174576628.461901,74637
2009-03-01,2314.57031122261,175016234.083098,75615
2009-04-01,2309.08989554679,175105214.049,75833
2009-05-01,2295.70853725418,175008748.920498,76233
2009-06-01,2335.19915701465,175123590.382,74993
2009-07-01,2326.27405392191,175214961.741398,75320
2009-08-01,2347.16421141546,175387151.369598,74723
2009-09-01,2345.93522731196,175490030.614299,74806
2009-10-01,2351.36820953781,175776530.503999,74755
2009-11-01,2330.64081726809,176201107.067102,75602
2009-12-01,2366.29871361067,176012397.214502,74383
2010-01-01,2320.59384520435,176040249.097202,75860
2010-02-01,2342.66452946192,176173057.944595,75202
2010-03-01,2328.35892770978,176573427.641799,75836
2010-04-01,2332.64088011572,176587912.547401,75703
2010-05-01,2331.75470888793,176614096.915299,75743
2010-06-01,2365.69296778776,176625002.668002,74661
2010-07-01,2345.5634785925,176611547.684101,75296
2010-08-01,2376.52647549295,177053598.950701,74501
2010-09-01,2369.13746209767,177093025.291801,74750
2010-10-01,2381.89610583776,177486988.3265,74515
2010-11-01,2361.14813402928,177648063.308095,75238
2010-12-01,2388.69650208193,172559435.310399,72240
2011-01-01,2368.74979782871,177386197.360201,74886
2011-02-01,2409.12335499213,177831849.572099,73816
2011-03-01,2392.42278405065,178096736.890298,74442
2011-04-01,2377.29657189191,178118945.649001,74925
2011-05-01,2386.71680703751,178185116.663,74657
2011-06-01,2410.2144861336,178266694.037899,73963
2011-07-01,2387.43501929094,178312746.720801,74688
2011-08-01,2418.45452157011,178394879.329097,73764
2011-09-01,2381.21415377414,178522006.322601,74971
2011-10-01,2389.90789991582,178824858.611201,74825
2011-11-01,2392.41164968002,179045695.450403,74839
2011-12-01,2419.81862792192,179090776.652501,74010
2012-01-01,2439.99799561006,180196291.973799,73851
2012-02-01,2458.02545647795,180446106.785503,73411
2012-03-01,2444.81235016654,180593398.682102,73868
2012-04-01,2436.43464252748,180534934.142001,74098
2012-05-01,2438.97697228536,180520880.603701,74015
2012-06-01,2443.13572889736,180428016.714799,73851
2012-07-01,2447.28809979958,180744462.610698,73855
2012-08-01,2455.78147457088,181133530.001399,73758
2012-09-01,2456.77557706067,181157717.5013,73738
2012-10-01,2447.16726294617,181474582.718299,74157
2012-11-01,2426.54194703505,181648503.613096,74859
2012-12-01,2442.19111306847,181344901.1009,74255
2013-01-01,2457.88125721738,181905333.965401,74009
2013-02-01,2500.79305113477,182037727.778202,72792
2013-03-01,2481.06546508112,182405451.927299,73519
2013-04-01,2453.73109595504,182351480.126995,74316
2013-05-01,2458.85533231667,182592138.122504,74259
2013-06-01,2506.18606540996,182410246.584799,72784
2013-07-01,2526.83656754569,182531093.129798,72237
2013-08-01,2502.03261405243,182803506.847898,73062
2013-09-01,2477.52886335268,182911000.923602,73828
2013-10-01,2485.4334077268,183477179.5918,73821
2013-11-01,2486.28652141438,183560047.589502,73829
2013-12-01,2494.24636648429,183274728.762899,73479
2014-01-01,2477.12233711027,183376412.371599,74028
2014-02-01,2534.14677398006,183487431.3168,72406
2014-03-01,2533.3119782893,183918449.623803,72600
2014-04-01,2520.45634830816,182574296.502398,72437
2014-05-01,2487.99685078537,183591775.616303,73791
2014-06-01,2508.00968798316,183954986.584501,73347
2014-07-01,2517.86506032947,184035792.989602,73092
